strategy,parameters,total_samples,correct_count,accuracy_pct,avg_latency_ms,avg_tokens,total_cost_usd,result_csv
baseline,{},1,1,100.0,20681.65,530,0.0,C:\Users\Dell\Downloads\sem6\softcomputing\project\data_engineering\data\baseline_results.csv
iter_refine,{'max_iterations': 1},1,1,100.0,72280.6,3750,0.0,C:\Users\Dell\Downloads\sem6\softcomputing\project\data_engineering\data\iter_refine_results.csv
filter,{'num_samples': 2},1,1,100.0,89266.74,3449,0.0,C:\Users\Dell\Downloads\sem6\softcomputing\project\data_engineering\data\filter_results.csv
majority,{'num_samples': 3},1,1,100.0,70287.42,584,0.0,C:\Users\Dell\Downloads\sem6\softcomputing\project\data_engineering\data\majority_results.csv
